auth_name,code,name,description,scope,type,coordinate_system_auth_name,coordinate_system_code,datum_auth_name,datum_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,3819,HD1909,,,geographic 2D,EPSG,6422,EPSG,1024,EPSG,1119,,0
EPSG,3821,TWD67,,,geographic 2D,EPSG,6422,EPSG,1025,EPSG,3315,,0
EPSG,3822,TWD97,,,geocentric,EPSG,6500,EPSG,1026,EPSG,1228,,0
EPSG,3823,TWD97,,,geographic 3D,EPSG,6423,EPSG,1026,EPSG,1228,,0
EPSG,3824,TWD97,,,geographic 2D,EPSG,6422,EPSG,1026,EPSG,1228,,0
EPSG,3887,IGRS,,,geocentric,EPSG,6500,EPSG,1029,EPSG,1124,,0
EPSG,3888,IGRS,,,geographic 3D,EPSG,6423,EPSG,1029,EPSG,1124,,0
EPSG,3889,IGRS,,,geographic 2D,EPSG,6422,EPSG,1029,EPSG,1124,,0
EPSG,3906,MGI 1901,,,geographic 2D,EPSG,6422,EPSG,1031,EPSG,2370,,0
EPSG,4000,MOLDREF99,,,geocentric,EPSG,6500,EPSG,1032,EPSG,1162,,0
EPSG,4001,Unknown datum based upon the Airy 1830 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6001,EPSG,1263,,0
EPSG,4002,Unknown datum based upon the Airy Modified 1849 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6002,EPSG,1263,,0
EPSG,4003,Unknown datum based upon the Australian National Spheroid,,,geographic 2D,EPSG,6422,EPSG,6003,EPSG,1263,,0
EPSG,4004,Unknown datum based upon the Bessel 1841 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6004,EPSG,1263,,0
EPSG,4005,Unknown datum based upon the Bessel Modified ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6005,EPSG,1263,,0
EPSG,4006,Unknown datum based upon the Bessel Namibia ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6006,EPSG,1263,,0
EPSG,4007,Unknown datum based upon the Clarke 1858 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6007,EPSG,1263,,0
EPSG,4008,Unknown datum based upon the Clarke 1866 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6008,EPSG,1263,,0
EPSG,4009,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6009,EPSG,1263,,1
EPSG,4010,Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6010,EPSG,1263,,0
EPSG,4011,Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6011,EPSG,1263,,0
EPSG,4012,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6012,EPSG,1263,,0
EPSG,4013,Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6013,EPSG,1263,,0
EPSG,4014,Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6014,EPSG,1263,,0
EPSG,4015,Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6015,EPSG,1263,,0
EPSG,4016,Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6016,EPSG,1263,,0
EPSG,4017,MOLDREF99,,,geographic 3D,EPSG,6423,EPSG,1032,EPSG,1162,,0
EPSG,4018,Unknown datum based upon the Everest 1830 Modified ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6018,EPSG,1263,,0
EPSG,4019,Unknown datum based upon the GRS 1980 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6019,EPSG,1263,,0
EPSG,4020,Unknown datum based upon the Helmert 1906 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6020,EPSG,1263,,0
EPSG,4021,Unknown datum based upon the Indonesian National Spheroid,,,geographic 2D,EPSG,6422,EPSG,6021,EPSG,1263,,0
EPSG,4022,Unknown datum based upon the International 1924 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6022,EPSG,1263,,0
EPSG,4023,MOLDREF99,,,geographic 2D,EPSG,6422,EPSG,1032,EPSG,1162,,0
EPSG,4024,Unknown datum based upon the Krassowsky 1940 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6024,EPSG,1263,,0
EPSG,4025,Unknown datum based upon the NWL 9D ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6025,EPSG,1263,,0
EPSG,4027,Unknown datum based upon the Plessis 1817 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6027,EPSG,1263,,0
EPSG,4028,Unknown datum based upon the Struve 1860 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6028,EPSG,1263,,0
EPSG,4029,Unknown datum based upon the War Office ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6029,EPSG,1263,,0
EPSG,4030,Unknown datum based upon the WGS 84 ellipsoid,,,geographic 2D,EPSG,6422,EPSG,6030,EPSG,1263,,0
