auth_name,code,name,description,scope,coordinate_system_auth_name,coordinate_system_code,geodetic_crs_auth_name,geodetic_crs_code,conversion_auth_name,conversion_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,2000,Anguilla 1957 / British West Indies Grid,,,EPSG,4400,EPSG,4600,EPSG,19942,EPSG,3214,,0
EPSG,2001,Antigua 1943 / British West Indies Grid,,,EPSG,4400,EPSG,4601,EPSG,19942,EPSG,1273,,0
EPSG,2002,Dominica 1945 / British West Indies Grid,,,EPSG,4400,EPSG,4602,EPSG,19942,EPSG,3239,,0
EPSG,2003,Grenada 1953 / British West Indies Grid,,,EPSG,4400,EPSG,4603,EPSG,19942,EPSG,1551,,0
EPSG,2004,Montserrat 1958 / British West Indies Grid,,,EPSG,4400,EPSG,4604,EPSG,19942,EPSG,3279,,0
EPSG,2005,St. Kitts 1955 / British West Indies Grid,,,EPSG,4400,EPSG,4605,EPSG,19942,EPSG,3297,,0
EPSG,2006,St. Lucia 1955 / British West Indies Grid,,,EPSG,4400,EPSG,4606,EPSG,19942,EPSG,3298,,0
EPSG,2007,St. Vincent 45 / British West Indies Grid,,,EPSG,4400,EPSG,4607,EPSG,19942,EPSG,3300,,0
EPSG,2008,NAD27(CGQ77) / SCoPQ zone 2,,,EPSG,4499,EPSG,4609,EPSG,17700,EPSG,1420,,1
EPSG,2009,NAD27(CGQ77) / SCoPQ zone 3,,,EPSG,4499,EPSG,4609,EPSG,17703,EPSG,1446,,0
EPSG,2010,NAD27(CGQ77) / SCoPQ zone 4,,,EPSG,4499,EPSG,4609,EPSG,17704,EPSG,1422,,0
EPSG,2011,NAD27(CGQ77) / SCoPQ zone 5,,,EPSG,4499,EPSG,4609,EPSG,17705,EPSG,1423,,0
EPSG,2012,NAD27(CGQ77) / SCoPQ zone 6,,,EPSG,4499,EPSG,4609,EPSG,17706,EPSG,1424,,0
EPSG,2013,NAD27(CGQ77) / SCoPQ zone 7,,,EPSG,4499,EPSG,4609,EPSG,17707,EPSG,1425,,0
EPSG,2014,NAD27(CGQ77) / SCoPQ zone 8,,,EPSG,4499,EPSG,4609,EPSG,17708,EPSG,1426,,0
EPSG,2015,NAD27(CGQ77) / SCoPQ zone 9,,,EPSG,4499,EPSG,4609,EPSG,17709,EPSG,1427,,0
EPSG,2016,NAD27(CGQ77) / SCoPQ zone 10,,,EPSG,4499,EPSG,4609,EPSG,17710,EPSG,1428,,0
EPSG,2017,NAD27(76) / MTM zone 8,,,EPSG,4499,EPSG,4608,EPSG,17708,EPSG,1429,,0
EPSG,2018,NAD27(76) / MTM zone 9,,,EPSG,4499,EPSG,4608,EPSG,17709,EPSG,1430,,0
EPSG,2019,NAD27(76) / MTM zone 10,,,EPSG,4499,EPSG,4608,EPSG,17710,EPSG,1431,,0
EPSG,2020,NAD27(76) / MTM zone 11,,,EPSG,4400,EPSG,4608,EPSG,17711,EPSG,1432,,0
EPSG,2021,NAD27(76) / MTM zone 12,,,EPSG,4400,EPSG,4608,EPSG,17712,EPSG,1433,,0
EPSG,2022,NAD27(76) / MTM zone 13,,,EPSG,4400,EPSG,4608,EPSG,17713,EPSG,1434,,0
EPSG,2023,NAD27(76) / MTM zone 14,,,EPSG,4400,EPSG,4608,EPSG,17714,EPSG,1435,,0
EPSG,2024,NAD27(76) / MTM zone 15,,,EPSG,4400,EPSG,4608,EPSG,17715,EPSG,1436,,0
EPSG,2025,NAD27(76) / MTM zone 16,,,EPSG,4400,EPSG,4608,EPSG,17716,EPSG,1437,,0
EPSG,2026,NAD27(76) / MTM zone 17,,,EPSG,4400,EPSG,4608,EPSG,17717,EPSG,1438,,0
EPSG,2027,NAD27(76) / UTM zone 15N,,,EPSG,4400,EPSG,4608,EPSG,16015,EPSG,1439,,0
EPSG,2028,NAD27(76) / UTM zone 16N,,,EPSG,4400,EPSG,4608,EPSG,16016,EPSG,1440,,0
